Classici latini,,,,,,,Saggi,,,,,
Anno,Autore,Titolo,Genere,Status,Voto (1-10),,Anno,Autore,Titolo,Genere,Status,Voto (1-10)
,Tito Maccio Plauto,Anfitrione,Commedia,Non-letto,BUR,,2005,Eugenio Corti,Catone l'Antico,,,
,Tito Maccio Plauto,Asinaria,Commedia,Non-letto,BUR,,,,,,,
,Tito Maccio Plauto,Aulularia (la pentola del tesoro),Commedia,Non-letto,BUR,,,,,,,
,Tito Maccio Plauto,Bacchides,Commedia,Non-letto,,,,,,,,
,Tito Maccio Plauto,Captivi (I prigionieri,Commedia,Non-letto,,,,,,,,
,Tito Maccio Plauto,Casina (La ragazza che profuma di cannella) ,Commedia,Non-letto,BUR,,,,,,,
,Tito Maccio Plauto,Cistellaria (La commedia della cesta) ,Commedia,Non-letto,,,,,,,,
,Tito Maccio Plauto,"Curculio (Gorgoglione, propriamente verme roditore del grano) ",Commedia,Non-letto,,,,,,,,
,Tito Maccio Plauto,Epidicus (Epidico),Commedia,Non-letto,BUR,,,,,,,
,Tito Maccio Plauto,Menaechmi (I Menecmi),Commedia,Non-letto,BUR,,,,,,,
,Tito Maccio Plauto,Mercator (Il mercante),Commedia,Non-letto,,,,,,,,
,Tito Maccio Plauto,Miles gloriosus (Il soldato fanfarone),Commedia,Non-letto,BUR,,,,,,,
,Tito Maccio Plauto,Mostellaria (La commedia del fantasma),Commedia,Non-letto,,,,,,,,
,Tito Maccio Plauto,Persa (Il persiano) ,Commedia,Non-letto,,,,,,,,
,Tito Maccio Plauto,Poenulus (Il Cartaginese),Commedia,Non-letto,,,,,,,,
,Tito Maccio Plauto,Pseudolus (Pseudolo),Commedia,Non-letto,BUR,,,,,,,
,Tito Maccio Plauto,Rudens (La gomena),Commedia,Non-letto,,,,,,,,
,Tito Maccio Plauto,Stichus (Stico),Commedia,Non-letto,,,,,,,,
,Tito Maccio Plauto,Trinummus (Le tre monete) ,Commedia,Non-letto,,,,,,,,
,Tito Maccio Plauto,Truculentus (Lo zoticone),Commedia,Non-letto,,,,,,,,
,Tito Maccio Plauto,Vidularia (La commedia del baule) ,Commedia,Non-letto,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Marco Porcio Catone,,,,,,,,,,,
,,"Catone, De re rustica, con note, [Traduzione di Giuseppe Compagnoni], Tomo I-III, Venezia, nella stamperia Palese, 1792-1794 («Rustici latini volgarizzati»).",,,,,,,,,,
,,"Catone, Dell'agricoltura, Versione di Alessandro Donati, Milano, Notari, 1929.",,,,,,,,,,
,,"Liber de agricoltura, Roma, Ramo editoriale degli agricoltori, 1964.",,,,,,,,,,
,,"L'agricoltura, a cura di Luca Canali e Emanuele Lelli, Milano, A. Mondadori, 2000.",,,,,,,,,,
,,"Opere, a cura di Paolo Cugusi e Maria Teresa Sblendorio Cugusi, 2 voll., Torino, UTET, 2001.",,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Publio Terenzio Afro,Andria,Commedia,,BUR,,,,,,,
,Publio Terenzio Afro,Hecyra,Commedia,,BUR,,,,,,,
,Publio Terenzio Afro,Heautontimorumenos,Commedia,,BUR,,,,,,,
,Publio Terenzio Afro,Eunuchus,Commedia,,BUR,,,,,,,
,Publio Terenzio Afro,Phormio,Commedia,,,,,,,,,
,Publio Terenzio Afro,Adelphoe,Commedia,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Marco Tullio Cicerone,De Oratore,Dell'oratore,,,,,,,,,
,,Orator,,,,,,,,,,
,,Brutus,Bruto,,,,,,,,,
,,Partitiones Oratoriae,,,,,,,,,,
,,De Inventione,,,,,,,,,,
,,Topica,,,,,,,,,,
,,De Natura Deorum,,,,,,,,,,
,,De Divinatione,,,,,,,,,,
,,De Fato,Il fato,,,,,,,,,
,,De Officiis,I doveri,Orazioni cesariane,,,,,,,,
,,De Finibus Bonorum et Malorum,,,,,,,,,,
,,Tusculanae Disputationes,Tuscolane,,,,,,,,,
,,De Senectute (Cato Maior),,,,,,,,,,
,,De Amicitia (Laelius),L'amicizia,,,,,,,,,
,,De Legibus,,,,,,,,,,
,,De Re Publica,La repubblica,,,,,,,,,
,,Paradoxa Stoicorum,,,,,,,,,,
,,Academica,Academica,,,,,,,,,
,,De Gloria (perduto),,,,,,,,,,
,,De Virtutibus (perduto),,,,,,,,,,
,,De Consolatione (perduto),,,,,,,,,,
,,Epistulae ad Atticum,,,,,,,,,,
,,Epistulae ad Familiares,Lettere ai familiari,,,,,,,,,
,,Epistulae ad Quintum Fratrem,,,,,,,,,,
,,Philippicae,Le filippiche,,,,,,,,,
,,Pro Quinctio,,,,,,,,,,
,,Pro Roscio Amerino,,,,,,,,,,
,p. 656,Pro Caecina,,,,,,,,,,
,,Pro Cluentio,Difesa di Cluenzio,,,,,,,,,
,,Pro Archia,Il poeta Archia,,,,,,,,,
,,Pro Milone,,,,,,,,,,
,,Pro Marcello,Difesa di Marco Celio,,,,,,,,,
,,Pro Ligario,,,,,,,,,,
,,Pro Rege Deiotaro,,,,,,,,,,
,,Pro Sulla,,,,,,,,,,
,,In Verrem,Il processo di verre,,,,,,,,,
,,In Catilinam,Le catilinarie,,,,,,,,,
,,Pro Murena,,,,,,,,,,
,,Pro Plancio,,,,,,,,,,
,,Pro Fonteio,,,,,,,,,,
,,Pro Sestio,,,,,,,,,,
,,Pro Flacco,,,,,,,,,,
,,Pro Balbo,,,,,,,,,,
,,Pro Rabirio Postumo,,,,,,,,,,
,,Pro Cn. Plancio,,,,,,,,,,
,,Pro Aulo Caecina,,,,,,,,,,
,,Pro M. Tullio,,,,,,,,,,